variabel,pearson_r,pearson_p,spearman_r,lag1_r,lag1_p,n,signifikan_d0,signifikan_d1
sti_singapore,0.234,0.0,0.1669,0.0391,0.4049,456,True,False
nikkei,0.1348,0.0049,0.1122,0.0422,0.3805,434,True,False
sensex,0.1273,0.0074,0.1745,0.0669,0.1606,442,True,False
kospi,0.1153,0.0156,0.0599,0.0107,0.8227,440,True,False
ftse100,0.1058,0.0241,0.0937,0.1342,0.0042,455,True,True
emas,-0.1047,0.0264,-0.0088,0.0271,0.5664,450,True,False
msci_world,0.0844,0.0742,0.0687,0.1404,0.0029,448,False,True
sp500,0.0829,0.0795,0.0586,0.1229,0.0093,448,False,True
dax,0.0824,0.0778,0.0691,0.0648,0.1663,459,False,False
tembaga,0.0804,0.0886,0.1123,0.0318,0.5011,450,False,False
dxy,0.0797,0.0913,0.091,-0.0495,0.2949,450,False,False
nasdaq,0.0788,0.0957,0.0584,0.1034,0.0288,448,False,True
us_2yr_yield,-0.0731,0.1222,-0.0627,-0.0178,0.7071,448,False,False
dow_jones,0.073,0.1228,0.0618,0.1442,0.0022,448,False,True
oil_gas_ratio,0.0663,0.1605,0.0226,0.0996,0.0348,450,False,True
gas_alam,-0.066,0.1621,-0.0395,-0.0829,0.0791,450,False,False
jagung,-0.0641,0.175,-0.041,-0.0878,0.0634,449,False,False
usd_cny,-0.0586,0.2357,-0.0265,0.0577,0.2429,411,False,False
fear_greed_proxy,-0.0557,0.2397,0.0044,-0.1338,0.0046,448,False,True
vix,-0.0557,0.2397,0.0044,-0.1338,0.0046,448,False,True
asx200,0.0556,0.2611,0.0578,0.1162,0.0186,411,False,True
msci_em,0.0518,0.2743,0.0772,0.1277,0.0068,448,False,True
batubara,-0.0503,0.3176,0.0152,-0.0242,0.6321,396,False,False
emerging_fx,0.047,0.3208,0.0786,0.0556,0.2408,448,False,False
baja_hrc,0.0425,0.3916,0.0765,-0.0269,0.5878,409,False,False
kedelai,0.0421,0.3735,0.0424,-0.0322,0.4968,449,False,False
kopi,0.0349,0.4604,0.0268,0.0134,0.777,450,False,False
perak,-0.0324,0.4925,0.0659,-0.0236,0.6178,450,False,False
minyak_wti,-0.0321,0.4976,-0.0539,0.0268,0.571,450,False,False
hang_seng,0.0293,0.5379,0.0589,0.1123,0.0179,445,False,True
minyak_brent,-0.0278,0.5567,-0.0384,0.0242,0.6091,450,False,False
beras,0.0203,0.6683,0.0491,0.1163,0.0137,449,False,True
gula,0.0186,0.6942,0.021,0.0707,0.1346,450,False,False
eur_usd,-0.0166,0.7376,-0.0081,0.0126,0.7994,411,False,False
sgd_idr,0.0151,0.7602,-0.0464,-0.0617,0.2116,411,False,False
jpy_idr,-0.0121,0.8067,-0.0339,-0.0422,0.3938,411,False,False
usd_jpy,0.0086,0.8624,-0.0219,-0.0213,0.6673,411,False,False
gold_silver_ratio,-0.0074,0.876,-0.0632,0.0541,0.2524,450,False,False
shanghai,-0.0069,0.8857,0.0588,0.0425,0.3771,435,False,False
eur_idr,-0.0045,0.9277,-0.0502,0.006,0.903,411,False,False
usd_idr,-0.0038,0.9383,-0.0479,-0.0827,0.0942,411,False,False
us_10yr_yield,-0.0027,0.9541,0.0218,-0.0034,0.9424,448,False,False
