ticker,sektor,skor_final,skor_teknikal,skor_berita,skor_berita_raw,proba_naik,rsi,sinyal
ITMG,tambang,53.4,76.5,50,0,0.457,77.9,SKIP
PTBA,tambang,52.6,74.3,50,0,0.457,74.7,SKIP
ADRO,tambang,52.2,73.3,50,0,0.457,62.4,SKIP
AKRA,energi,50.0,67.1,50,0,0.456,54.4,SKIP
ESSA,energi,49.5,65.9,50,0,0.456,65.6,SKIP
ABMM,lainnya,49.3,76.6,40,-2,0.404,62.0,SKIP
LSIP,agribisnis,48.8,69.6,50,0,0.38,71.8,SKIP
SIMP,agribisnis,48.0,67.3,50,0,0.38,50.0,SKIP
MEDC,tambang,47.3,59.5,50,0,0.457,53.4,SKIP
UNTR,lainnya,47.3,71.0,40,-2,0.404,65.9,SKIP
MAIN,lainnya,46.6,69.2,40,-2,0.404,63.0,SKIP
WIIM,lainnya,41.1,53.9,40,-2,0.404,47.4,SKIP
TKIM,lainnya,41.1,53.8,40,-2,0.404,37.5,SKIP
EMTK,media,39.1,39.7,50,0,0.418,47.1,SKIP
MTEL,telekomunikasi,36.1,32.2,50,0,0.407,57.1,SKIP
SCMA,media,36.1,31.4,50,0,0.418,50.0,SKIP
TOWR,telekomunikasi,35.9,31.8,50,0,0.407,47.1,SKIP
BUKA,lainnya,34.5,43.0,30,-8,0.404,50.0,SKIP
AALI,agribisnis,33.9,28.1,50,0,0.38,44.7,SKIP
JPFA,lainnya,33.8,33.6,40,-2,0.404,50.5,SKIP
HRUM,tambang,33.6,21.5,50,0,0.457,38.9,SKIP
TLKM,telekomunikasi,33.2,24.3,50,0,0.407,35.9,SKIP
EXCL,telekomunikasi,33.1,23.9,50,0,0.407,42.7,SKIP
CPIN,konsumer,33.0,27.0,50,0,0.363,45.1,SKIP
ISAT,telekomunikasi,32.7,22.7,50,0,0.407,43.1,SKIP
MDKA,tambang,32.6,18.8,50,0,0.457,39.0,SKIP
MAPI,ritel,32.6,27.4,50,0,0.341,37.1,SKIP
HEAL,kesehatan,32.5,25.7,50,0,0.361,51.5,SKIP
PGAS,energi,32.1,17.4,50,0,0.456,25.7,SKIP
BJBR,lainnya,32.0,28.5,40,-2,0.404,45.5,SKIP
ASII,lainnya,31.8,27.9,40,-2,0.404,43.0,SKIP
ELSA,energi,31.8,16.6,50,0,0.456,36.1,SKIP
ANTM,tambang,31.6,16.1,50,0,0.457,30.5,SKIP
BNGA,perbankan,31.6,24.1,50,0,0.348,39.2,SKIP
LPPF,ritel,31.4,24.3,50,0,0.341,43.0,SKIP
BBCA,perbankan,31.3,23.3,50,0,0.348,40.7,SKIP
MNCN,media,31.2,17.7,50,0,0.418,32.4,SKIP
ACES,ritel,31.1,23.2,50,0,0.341,44.4,SKIP
INCO,tambang,30.9,14.1,50,0,0.457,19.0,SKIP
SMGR,properti,30.9,19.9,50,0,0.38,36.9,SKIP
BMRI,perbankan,30.9,22.2,50,0,0.348,38.2,SKIP
MIKA,kesehatan,30.9,21.2,50,0,0.361,39.5,SKIP
TINS,tambang,30.6,13.1,50,0,0.457,22.0,SKIP
MYOR,konsumer,30.6,20.2,50,0,0.363,32.1,SKIP
CTRA,properti,30.4,18.5,50,0,0.38,30.3,SKIP
PWON,properti,30.4,18.5,50,0,0.38,31.2,SKIP
UNVR,konsumer,30.4,19.7,50,0,0.363,30.1,SKIP
ICBP,konsumer,30.4,19.6,50,0,0.363,36.9,SKIP
BBTN,perbankan,30.3,20.6,50,0,0.348,38.4,SKIP
BSDE,properti,30.2,17.9,50,0,0.38,31.1,SKIP
SMSM,lainnya,30.1,23.4,40,-2,0.404,39.6,SKIP
INKP,lainnya,30.1,23.2,40,-2,0.404,36.6,SKIP
RALS,ritel,29.9,20.1,50,0,0.341,40.6,SKIP
SMRA,properti,29.8,16.8,50,0,0.38,29.8,SKIP
KLBF,konsumer,29.1,16.2,50,0,0.363,26.7,SKIP
BJTM,lainnya,29.0,20.3,40,-2,0.404,38.1,SKIP
PTPP,properti,28.8,14.0,50,0,0.38,25.0,SKIP
BRIS,perbankan,28.8,16.5,50,0,0.348,30.9,SKIP
SIDO,lainnya,28.3,18.3,40,-2,0.404,27.3,SKIP
AUTO,lainnya,28.3,18.2,40,-2,0.404,28.1,SKIP
INDF,lainnya,28.3,18.4,40,-2,0.404,33.3,SKIP
BBNI,perbankan,28.3,14.9,50,0,0.348,31.1,SKIP
BBRI,perbankan,28.1,14.3,50,0,0.348,20.3,SKIP
GGRM,konsumer,28.1,13.3,50,0,0.363,25.3,SKIP
HMSP,konsumer,28.1,13.2,50,0,0.363,27.4,SKIP
INTP,lainnya,27.3,15.5,40,-2,0.404,23.3,SKIP
TPIA,lainnya,26.8,14.2,40,-2,0.404,29.3,SKIP
ADHI,lainnya,26.6,13.5,40,-2,0.404,21.2,SKIP
BRPT,lainnya,26.5,13.2,40,-2,0.404,16.6,SKIP
KPIG,lainnya,25.9,11.7,40,-2,0.404,17.6,SKIP
