ticker,harga,proba,ret_1d,rsi,vol_r,macd_h
MLPT,20250.0,0.656,9.31,69.9,2.42,1566.2479
NSSS,830.0,0.626,7.1,44.6,1.11,-0.7376
PPGL,228.0,0.597,9.62,72.5,2.3,5.0272
PBSA,1220.0,0.593,3.39,50.8,0.98,23.6433
MORA,5725.0,0.591,25.0,66.0,1.92,254.694
RANC,570.0,0.589,5.56,43.4,0.72,3.9507
INET,338.0,0.587,10.46,71.2,2.85,13.1552
PTPP,272.0,0.586,3.03,36.0,1.47,0.3346
DEFI,67.0,0.585,34.0,37.3,8.82,3.2252
FISH,760.0,0.576,2.7,44.3,1.1,8.9099
ASSA,910.0,0.576,3.41,35.4,0.79,10.1474
INTP,5325.0,0.57,0.47,43.9,1.35,55.9126
PYFA,350.0,0.561,6.71,56.4,1.59,7.7117
NCKL,1120.0,0.559,1.82,47.6,1.68,3.5662
RCCC,106.0,0.551,3.92,50.0,1.49,1.4308
INDS,418.0,0.549,8.29,48.9,0.72,23.2816
GWSA,149.0,0.548,0.68,62.2,0.76,2.51
EMDE,74.0,0.547,0.0,33.3,0.86,0.6008
BULL,486.0,0.543,11.47,75.0,1.72,15.3563
SGRO,4900.0,0.54,0.41,21.5,0.76,-38.1726
GTBO,220.0,0.536,1.85,63.2,3.53,2.1295
FORU,1170.0,0.535,3.54,65.5,1.87,13.1206
MYOR,1910.0,0.532,0.26,59.0,0.98,19.7765
